Index,Time[s],Ch0[V],Ch1[V],
953,47.65,-0.0388325159437954,0.207233079010621,
954,47.7,-0.0388325159437954,0.204656475922093,
955,47.75,-0.0439857221208513,0.209809682099149,
956,47.8,-0.0439857221208513,0.207233079010621,
957,47.85,-0.0465623252093792,0.213674586731941,
958,47.9,-0.0504272298421711,0.209809682099149,
959,47.95,-0.053003832930699,0.214962888276204,
960,48,-0.0568687375634909,0.211097983643413,
961,48.05,-0.0594453406520188,0.217539491364732,
962,48.1,-0.0658868483733386,0.213674586731941,
963,48.15,-0.0710400545503944,0.22011609445326,
964,48.2,-0.0787698638159782,0.216251189820468,
965,48.25,-0.0890762761700898,0.222692697541788,
966,48.3,-0.0968060854356736,0.218827792908996,
967,48.35,-0.105824196245521,0.225269300630316,
968,48.4,-0.116130608599633,0.221404395997524,
969,48.45,-0.130301925586537,0.227845903718844,
970,48.5,-0.134166830219328,0.223980999086052,
971,48.55,-0.145761544117704,0.230422506807372,
972,48.6,-0.165086067281663,0.227845903718844,
973,48.65,-0.172815876547247,0.2329991098959,
974,48.7,-0.174104178091511,0.230422506807372,
975,48.75,-0.180545685812831,0.235575712984428,
976,48.8,-0.184410590445623,0.231710808351636,
977,48.85,-0.184410590445623,0.236864014528692,
978,48.9,-0.192140399711207,0.234287411440164,
979,48.95,-0.196005304343998,0.238152316072956,
980,49,-0.201158510521054,0.235575712984428,
981,49.05,-0.205023415153846,0.240728919161484,
982,49.1,-0.21275322441943,0.236864014528692,
983,49.15,-0.217906430596486,0.243305522250012,
984,49.2,-0.229501144494861,0.23944061761722,
985,49.25,-0.239807556848973,0.244593823794276,
986,49.3,-0.251402270747349,0.242017220705748,
987,49.35,-0.264285286189988,0.248458728427067,
988,49.4,-0.279744904721156,0.247170426882803,
989,49.45,-0.286186412442476,0.251035331515595,
990,49.5,-0.296492824796587,0.248458728427067,
991,49.55,-0.296492824796587,0.253611934604123,
992,49.6,-0.301646030973643,0.251035331515595,
993,49.65,-0.311952443327755,0.256188537692651,
994,49.7,-0.306799237150699,0.253611934604123,
995,49.75,-0.306799237150699,0.258765140781179,
996,49.8,-0.301646030973643,0.256188537692651,
997,49.85,-0.302934332517907,0.261341743869707,
998,49.9,-0.299069427885115,0.258765140781179,
999,49.95,-0.299069427885115,0.263918346958235,
1000,50,-0.296492824796587,0.261341743869707,
1001,50.05,-0.286186412442476,0.266494950046763,
1002,50.1,-0.282321507809684,0.265206648502499,
1003,50.15,-0.305510935606435,0.270359854679555,
1004,50.2,-0.313240744872019,0.267783251591027,
1005,50.25,-0.317105649504811,0.271648156223819,
1006,50.3,-0.32354715722613,0.270359854679555,
1007,50.35,-0.320970554137602,0.274224759312347,
